,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110
214,886,141,0,0,3332,912,0,567,11507,0,90,1045,0,0,344,0,688,0,542,10544,0,0,0,0,0,5757,0,0,0,0,2761,0,133,121,19,1276,488,3146,0,575,0,316,0,2599,125,0,395,1373,2427,2743,0,79,182,106,7119,0,748,1314,2006,35257,7178,138,0,0,12647,0,38,0,0,2430,2583,0,0,0,4011,0,141,3096,4,268,5757,539,1280,0,42,892,3856,0,0,0,27456,0,173,15154,0,0,241,1722,165,1658,0,0,0,22183,522,0,194,643,103,5532
215,0,15,0,0,5794,25,0,873,6918,387,20,803,0,0,660,0,445,35,524,19331,90,0,0,0,315,540,98,13,37,0,21568,20,508,409,41,1751,87,868,39,0,0,3683,225,841,458,0,818,0,0,834,0,55,0,53,7580,92,0,342,809,38591,8555,0,914,0,198,345,91,1552,0,0,785,33,0,34,15801,196,0,167,0,0,0,43,61,0,42,153,843,4328,63,0,10686,0,0,20845,0,0,0,306,0,619,0,0,0,6259,152,730,0,67,335,4625
216,198,6,0,117,559,116,0,1101,0,29,6,337,0,0,90,103,174,18,4,271,0,35,0,0,0,165,0,92,7,5016,36,0,0,3,63,19381,91,449,1,70,0,2460,0,603,2720,21,7,0,0,0,13,19,32,34,2391,18,0,1961,209,107968,861,14,0,0,0,0,14,5859,10,81,128,48,0,18,30,5512,4,196,55,0,0,128,468,0,20,23,210,55748,6,0,794,0,0,1944,17,0,55,185,0,0,0,0,0,759,168,16,89,1590,10,113
217,0,18,0,0,1827,16,0,839,1879,0,6,559,3,0,139,0,371,6,33,274,0,0,0,0,19,0,0,133,8,424,169,0,3,6,44,20019,121,421,0,0,0,1691,0,301,2437,112,0,0,0,1864,13,26,92,264,1100,112,0,1795,140,110557,103,34,0,0,0,11,29,8451,23,0,113,12,23,43,60,4886,14,154,46,0,0,0,506,0,36,35,490,55269,31,0,0,0,12,681,0,83,0,192,0,0,0,0,0,309,11,0,11,989,11,188
218,1822,0,0,98,916,0,0,478,5803,34,29,285,0,0,168,83,146,41,962,51152,73,0,0,0,433,0,168,0,37,0,22577,45,738,286,56,567,153,882,0,71,0,528,167,277,64,73,2958,39,0,0,49,191,0,43,3428,0,0,0,469,4290,11597,0,0,0,1558,0,52,531,0,0,501,0,0,55,18417,121,28,24,0,0,0,359,78,0,54,0,0,3327,35,0,5885,0,0,9719,0,0,74,15,265,184,24,0,0,1723,428,0,187,0,108,2642
219,0,4,0,0,0,365,0,414,251,0,0,1028,0,0,103,0,524,61,7903,71385,3246,0,0,0,0,0,38,0,5,0,100792,2084,4400,1706,218,260,61,398,0,40,0,927,0,129,1608,0,2150,24,92,300,981,7489,0,64,12,257,0,285,276,0,824,539,232,0,346,0,54,183,0,0,7873,0,0,0,1792,614,0,0,25,142,0,873,0,263,0,0,0,426,0,0,1387,0,0,112,23,0,0,2006,0,5095,42,0,0,666,4184,0,193,27,1069,1202
220,0,0,0,3268,1847,0,0,7128,1465,1176,94,10560,0,0,29,0,2505,314,1056,10666,220,158,6,0,0,727,341,7,0,0,549,53,2258,505,2097,0,1228,119,0,0,105,544,0,6849,303,116,802,3195,0,434,0,29948,0,8165,4328,137,0,108,2757,0,1989,714,0,0,297,0,99,819,31,49,1122,261,632,0,3315,954,13,0,958,3239,1199,0,158,0,738,11,66,4303,0,0,967,0,78,298,586,60,494,822,0,778,270,0,0,7085,0,0,0,25543,200,17584
221,13,17,0,95,414,1811,0,6468,86,154,18,1223,0,0,2,138,290,0,20,0,0,0,0,0,0,21,0,67,24,778,10,0,29,10,98,79595,228,16,410,60,0,116,20,1037,1129,0,0,0,0,6,1399,1333,0,3540,971,38,0,1103,123,36058,376,37,0,0,0,352,85,21117,5,85,119,146,26,1167,0,9196,3,6,0,0,0,758,102,0,10,4,19,144397,22,12,48,0,6,1,0,0,97,420,0,336,18,0,0,596,281,0,432,93650,164,197
222,53,0,39,752,19,245,0,4886,573,113,21,3279,0,0,26,323,283,0,280,22326,241,0,0,14,3247,795,59,0,130,0,3345,13,6419,1598,1017,2708,419,36,617,646,119,161,126,6940,132,99,1581,210,510,505,3943,3287,0,5344,2550,48,0,577,407,14648,7238,426,650,0,222,0,233,0,71,0,204,652,188,969,17389,156,26,31,0,0,0,117,20,0,113,33,27,6839,0,0,895,176,0,73,0,0,0,762,0,0,0,0,0,10968,377,0,594,709,1754,8727
223,0,25,0,28,342,0,0,2111,192,42,54,2136,52,0,173,738,1709,380,7035,32648,1283,0,0,0,3505,4433,98,282,3,0,54510,15453,5767,1866,269,1025,133,6512,0,0,0,4470,0,45,3369,0,1158,38,1701,366,2633,5119,0,128,241,1075,71,1397,502,0,1656,1025,0,0,282,560,16,0,1,0,6950,6,0,350,1334,601,0,86,32,270,0,4041,57,274,388,27,50,1209,205,0,2393,0,276,515,0,0,0,6185,0,269,0,0,0,104,6946,228,544,79,359,1551
